auditNo,movieCd,watchGradeNm
2019-MF00651,20174284,12세이상관람가
2019-MF00357,20174042,12세이상관람가
2019-MF01644,20193928,전체관람가
2019-MF00652,20191302,12세이상관람가
2018-MF02386,20183343,15세이상관람가
2018-MF01741,20173993,15세이상관람가
2019-MF01118,20186645,12세이상관람가
2019-MF00475,20186652,15세이상관람가
2019-MF00374,20189803,12세이상관람가
2018-MF02376,20183364,12세이상관람가
2018-MF02487,20173991,12세이상관람가
2019-MF01400,20189647,전체관람가
2019-MF00569,20186651,전체관람가
2019-MF00379,20183345,12세이상관람가
2019-MF01951,20199346,전체관람가
2019-MF00903,20191744,15세이상관람가
2019-MF01068,20183727,12세이상관람가
2019-MF00397,20187301,12세이상관람가
2019-MF00906,20183001,전체관람가
2019-MF01192,20198829,12세이상관람가
2019-MF01310,20191105,전체관람가
2018-MF02072,20183085,15세이상관람가
2019-MF00466,20184961,전체관람가
2019-MF00898,20181198,12세이상관람가
2019-MF01701,20180902,15세이상관람가
2019-MF01698,20193828,전체관람가
2019-MF00156,20189649,전체관람가
2019-MF00217,20188117,15세이상관람가
2019-MF01308,20193013,전체관람가
2019-MF01849,20191783,12세이상관람가
2019-MF01193,20192689,전체관람가
2019-MF01286,20191845,청소년관람불가
2019-MF01823,20183848,12세이상관람가
2019-MF00835,20181104,12세이상관람가
2019-MF01349,20190470,전체관람가
2019-MF00737 ,20190725,전체관람가
2019-MF00490,20198043,전체관람가
2019-MF01471,20193642,전체관람가
2019-MF00965,20181096,전체관람가
2019-MF00863,20191141,12세이상관람가
2019-MF00563,20188083,전체관람가
2019-MF01707,20181168,15세이상관람가
2019-MF01891,20183407,15세이상관람가
2019-MF01676,20196881,12세이상관람가
2018-MF02440,20185350,전체관람가
2019-MF01447,20194045,전체관람가
2019-MF02052,20184243,12세이상관람가
2019-MF00552,20198912,12세이상관람가
2018-MF02502,20185124,전체관람가
2019-MF01570,20190703,전체관람가
2019-MF00414,20188393,12세이상관람가
2019-MF00415,20166301,15세이상관람가
2019-MF01335,20188404,15세이상관람가
2019-MF00497,20198597,전체관람가
2019-MF01361,20190741,12세이상관람가
2019-MF00928,20188144,15세이상관람가
2019-MF00391,20197092,전체관람가
2019-MF01528,20181103,15세이상관람가
2018-MF01508,20195791,12세이상관람가
2019-MF01419,20182241,전체관람가
2018-MF02409,20166602,12세이상관람가
2019-MF00494,20198982,15세이상관람가
2019-MF00492,20182501,15세이상관람가
2019-MF00987,20185986,15세이상관람가
2019-MF01489,20193275,전체관람가
2018-MF01150,20186324,전체관람가
2019-MF00324,20176442,12세이상관람가
2018-MF02432,20184187,청소년관람불가
2019-MF01138,20182585,15세이상관람가
2018-MF02159,20183915,전체관람가
2019-MF01788,20185361,15세이상관람가
2019-MF00106,20174169,12세이상관람가
2019-MF00091,20185478,전체관람가
2019-MF01115,20185353,15세이상관람가
2019-MF00619,20199448,12세이상관람가
2019-MF00359,20175407,15세이상관람가
2019-MF00545,20198183,전체관람가
2019-MF00546,20187981,12세이상관람가
2019-MF01172,20198323,전체관람가
2019-MF01492,20198323,전체관람가
2019-MF01614,20193821,전체관람가
2019-MF02102,20191029,12세이상관람가
2019-MF00018,20197846,청소년관람불가
2019-MF01421,20194456,15세이상관람가
2019-MF00556,20180825,15세이상관람가
2019-MF01401,20185985,12세이상관람가
2019-MF01030,20198453,15세이상관람가
2019-MF01231,20182490,전체관람가
2019-MF01691,20187322,12세이상관람가
2019-MF00265,20196601,12세이상관람가
2019-MF00093,20180868,15세이상관람가
2019-MF01737,20193601,12세이상관람가
2019-MF01346,20180442,15세이상관람가
2019-MF01916,20184483,15세이상관람가
2019-MF00599,20185784,12세이상관람가
2019-MF01368,20181416,12세이상관람가
2018-MF01859,20176251,15세이상관람가
2019-MF00620,20184082,15세이상관람가
2019-MF01473,20184543,15세이상관람가
2019-MF01716,20184572,청소년관람불가
2019-MF00043,20183096,전체관람가
2019-MF00135,20177539,15세이상관람가
2018-MF02396,20184105,12세이상관람가
2019-MF00096,20185881,12세이상관람가
2019-MF01943,20195920,15세이상관람가
2019-MF00730,20188941,청소년관람불가
2019-MF01345,20184462,15세이상관람가
2019-MF01498,20188750,15세이상관람가
2019-MF00326,20176103,15세이상관람가
2019-MF00595,20183782,15세이상관람가
2019-MF01369,20184621,12세이상관람가
2018-MF02462,20182530,15세이상관람가
